t	shot_max_conf	shot_n	goal_max_conf
226	0.0000	0	0.0000
227	0.0000	0	0.0000
228	0.0000	0	0.0000
229	0.3943	1	0.8881
230	0.8050	1	0.9005
231	0.8609	1	0.9320
232	0.7709	1	0.8766
233	0.7130	1	0.8876
234	0.6507	1	0.9199
235	0.5619	1	0.9252
236	0.5716	1	0.9273
237	0.6674	1	0.8329
238	0.1485	1	0.8841
239	0.3137	1	0.8193
240	0.0000	0	0.7535
241	0.2343	1	0.6897
242	0.5482	1	0.8015
243	0.1402	1	0.8787
244	0.0000	0	0.8519
245	0.0000	0	0.8585
246	0.4874	1	0.7926
247	0.7815	1	0.8936
248	0.7005	2	0.8639
249	0.8569	1	0.9169
250	0.7458	1	0.8599
251	0.1526	1	0.8999
252	0.1076	1	0.8726
253	0.2025	1	0.9087
254	0.0709	1	0.8986
255	0.1374	1	0.9133
256	0.4641	1	0.9072
257	0.5557	1	0.9034
258	0.0000	0	0.0000
259	0.0000	0	0.0000
260	0.0000	0	0.0000
261	0.0000	0	0.0000
262	0.0000	0	0.0000
263	0.0000	0	0.0000
264	0.0000	0	0.0000
265	0.0000	0	0.0000
266	0.0000	0	0.0000
267	0.1075	1	0.9127
268	0.1231	1	0.9079
269	0.2831	1	0.9088
270	0.0000	0	0.0000
271	0.0000	0	0.0000
272	0.0000	0	0.0000
273	0.0695	1	0.5794
274	0.5576	1	0.9066
275	0.8392	1	0.8388
276	0.1493	1	0.8811
277	0.6514	1	0.9071
278	0.6725	1	0.9387
279	0.4505	1	0.9365
280	0.3399	1	0.9359
281	0.4850	1	0.9324
282	0.7680	1	0.9078
283	0.5392	1	0.9011
284	0.5472	1	0.8903
285	0.2913	1	0.9156
286	0.5812	2	0.8716
287	0.0000	0	0.9181
288	0.0000	0	0.0000
289	0.0000	0	0.0000
290	0.0000	0	0.0000
291	0.0000	0	0.0000
292	0.0000	0	0.9123
293	0.1291	1	0.9055
294	0.1016	1	0.9061
295	0.3120	1	0.8891
296	0.3335	1	0.8828
297	0.3159	1	0.8755
298	0.2983	1	0.8827
299	0.0000	0	0.0000
300	0.0571	1	0.5661
301	0.0000	0	0.0000
302	0.0000	0	0.0000
303	0.0000	0	0.0000
304	0.0000	0	0.0000
305	0.0000	0	0.0000
306	0.0000	0	0.0000
307	0.0000	0	0.0000
308	0.0000	0	0.0000
